101.31,0.00,588.35
101.31,5.07,589.53
101.31,10.13,589.72
101.31,15.20,586.60
101.31,20.26,586.39
101.31,25.33,586.07
101.31,30.39,585.66
101.31,35.46,585.17
101.31,40.52,584.61
101.31,45.59,583.98
101.31,50.65,583.27
101.31,55.72,582.49
101.31,60.78,581.63
101.31,65.85,580.68
101.31,70.91,579.64
101.31,75.98,578.49
101.31,81.04,577.19
101.31,86.11,575.72
101.31,91.18,573.98
101.31,96.24,571.78
101.31,101.31,567.63

110.99,0.00,590.58
110.99,5.55,591.83
110.99,11.10,592.03
110.99,16.65,591.97
110.99,22.20,591.75
110.99,27.75,591.41
110.99,33.30,590.98
110.99,38.85,590.46
110.99,44.39,589.86
110.99,49.94,589.18
110.99,55.49,588.43
110.99,61.04,587.60
110.99,66.59,586.69
110.99,72.14,585.68
110.99,77.69,581.51
110.99,83.24,580.29
110.99,88.79,578.91
110.99,94.34,577.34
110.99,99.89,575.49
110.99,105.44,573.16
110.99,110.99,568.75

120.67,0.00,595.67
120.67,6.03,597.00
120.67,12.07,597.21
120.67,18.10,597.14
120.67,24.13,596.91
120.67,30.17,596.55
120.67,36.20,596.09
120.67,42.23,595.54
120.67,48.27,594.91
120.67,54.30,591.26
120.67,60.33,590.47
120.67,66.37,589.59
120.67,72.40,588.63
120.67,78.43,587.56
120.67,84.47,586.39
120.67,90.50,585.09
120.67,96.53,583.64
120.67,102.57,581.98
120.67,108.60,580.03
120.67,114.63,577.56
120.67,120.67,572.89

130.35,0.00,600.59
130.35,6.52,601.99
130.35,13.03,602.21
130.35,19.55,602.14
130.35,26.07,599.08
130.35,32.59,598.71
130.35,39.10,598.22
130.35,45.62,597.64
130.35,52.14,596.97
130.35,58.66,596.22
130.35,65.17,595.38
130.35,71.69,594.46
130.35,78.21,593.44
130.35,84.73,592.32
130.35,91.24,591.09
130.35,97.76,589.72
130.35,104.28,588.19
130.35,110.79,586.45
130.35,117.31,581.46
130.35,123.83,578.86
130.35,130.35,573.95

140.03,0.00,602.65
140.03,7.00,604.11
140.03,14.00,604.35
140.03,21.00,604.28
140.03,28.01,604.02
140.03,35.01,603.62
140.03,42.01,603.11
140.03,49.01,602.51
140.03,56.01,601.81
140.03,63.01,601.02
140.03,70.01,600.14
140.03,77.01,599.17
140.03,84.02,598.10
140.03,91.02,594.11
140.03,98.02,592.82
140.03,105.02,591.38
140.03,112.02,589.78
140.03,119.02,587.94
140.03,126.02,585.78
140.03,133.03,583.05
140.03,140.03,577.90
